white flower pot on the terrace,
pot of bush on the terrace ,
ticket booth of the Fair ,
human button (a game where the players are buttons) war booth ,
behind the robo soccer goal post ,
injured robot of robo soccer with power wires ,
a tree handing over the card ,
black speakers on stage, 
under the television,
on the gate of entrance to the fair,
behind the squid game,
on the black curtain,
on the old telephone,
with the host of the game   
